place,year,mass_g,longitude,latitude,fell_found
Hoba,1920,60000000,17.91667,-19.58333,Found
Cape York,1818,58200000,-64.93333,76.13333,Found
Campo del Cielo,1576,50000000,-60.58333,-27.46667,Found
Canyon Diablo,1891,30000000,-111.03333,35.05,Found
Armanty,1898,28000000,88,47,Found
Gibeon,1836,26000000,18,-25.5,Found
Chupaderos,1852,24300000,-105.1,27,Found
Mundrabilla,1911,24000000,127.55,-30.78333,Found
Sikhote-Alin,1947,23000000,134.65333,46.16,Fell
Bacubirito,1863,22000000,-107.83333,26.2,Found
Mbosi,1930,16000000,33.06667,-9.11667,Found
Willamette,1902,15500000,-122.58333,45.36667,Found
Morito,1600,10100000,-105.43333,27.05,Found
Nantan,1958,9500000,107.7,25.1,Found
Cranbourne,1854,8600000,145.3,-38.1,Found
Santa Catharina,1875,7000000,-48.6,-26.21667,Found
Bendegï,1784,5360000,-39.2,-10.11667,Found
Brenham,1882,4300000,-99.16361,37.5825,Found
Jilin,1976,4000000,126.16667,44.05,Fell
Vaca Muerta,1861,3828000,-70.5,-25.75,Found
Al Haggounia 001,2006,3000000,-12.5,27.5,Found
Xifu,2004,3000000,120.48333,36.3,Found
Toluca,1776,3000000,-99.56667,19.56667,Found
Old Woman,1976,2753000,-115.23333,34.46667,Found
Wabar,1863,2550000,50.47222,21.49972,Found
Huckitta,1924,2300000,135.76667,-22.36667,Found
Navajo,1921,2184000,-109.5,35.33333,Found
Coahuila,1837,2100000,-102.73333,28.7,Found
Allende,1969,2000000,-105.31667,26.96667,Fell
Henbury,1931,2000000,133.16667,-24.56667,Found
Campinorte,1992,2000000,-49.15917,-14.258,Found
Santa Luzia,1921,1918000,-47.95,-16.26667,Found
Ghubara,1954,1750000,56.14278,19.22778,Found
Odessa (iron),1922,1600000,-102.4,31.71667,Found
Gebel Kamil,2009,1600000,26.08778,22.01833,Found
Casas Grandes,1867,1545000,-107.8,30.4,Found
Bitburg,1805,1500000,6.53333,49.96667,Found
Quinn Canyon,1908,1450000,-115.53333,38.08333,Found
Charcas,1804,1400000,-101.01667,23.08333,Found
Santa Apolonia,1872,1316000,-98.3,19.21667,Found
Tsarev,1968,1225300,45.7,48.7,Found
Alkhamasin,1973,1200000,44.88333,20.6,Found
Kouga Mountains,1903,1173000,24,-33.61667,Found
Goose Lake,1938,1169500,-120.54167,41.98,Found
Murnpeowie,1909,1143000,139.9,-29.58333,Found
Norton County,1948,1100000,-99.86667,39.68333,Fell
Kunya-Urgench,1998,1100000,59.2,42.25,Fell
Fukang,2000,1003000,87.63333,44.43333,Found
Bilibino,1981,1000000,160.8,67.3,Found
Los Sauces,1937,997000,-66.85,-29.41667,Found
Tucson,1850,975000,-110.96667,31.85,Found
Cosby's Creek,1837,960000,-83.25,35.78333,Found
Imilac,1822,920000,-68.80667,-24.20333,Found
Bondoc,1956,888600,122.45,13.51667,Found
Santa Rosa,1810,825000,-73,5.91667,Found
Brahin,1810,823000,30.33333,52.5,Found
Sardis,1940,800000,-81.865,32.94889,Found
Red River,1808,800000,-95,32,Found
Wolf Creek,1947,760000,127.76667,-19.3,Found
